"filename", "language", "C++", "Batch", "Markdown", "Lua", "Python", "YAML", "C", "CMake", "XML", "Objective-C++", "HTML", "GLSL", "Groovy", "Shell Script", "comment", "blank", "total"
"c:\GitHub\Terraria-Clone\rlImGui-main\examples\simple.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 20, 92
"c:\GitHub\Terraria-Clone\rlImGui-main\extras\FA6FreeSolidFontData.h", "C++", 14902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14908
"c:\GitHub\Terraria-Clone\rlImGui-main\extras\IconsFontAwesome6.h", "C++", 1391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1397
"c:\GitHub\Terraria-Clone\rlImGui-main\imgui_impl_raylib.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 54
"c:\GitHub\Terraria-Clone\rlImGui-main\premake-VisualStudio.bat", "Batch", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\Terraria-Clone\rlImGui-main\premake-mingw.bat", "Batch", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\GitHub\Terraria-Clone\rlImGui-main\premake5.lua", "Lua", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 226
"c:\GitHub\Terraria-Clone\rlImGui-main\raylib_premake5.lua", "Lua", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 28, 135
"c:\GitHub\Terraria-Clone\rlImGui-main\rlImGui.cpp", "C++", 734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 169, 940
"c:\GitHub\Terraria-Clone\rlImGui-main\rlImGui.h", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 27, 196
